ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
risque,Risk,risque,NOM,s,69.33,1,Risk,CVCC,4.238879155330396
action,aksj§,action,NOM,s,69.27,1,ak-sj§,VC-CYV,4.238013355659861
avance,av@s,avance,NOM,s,69.25,1,a-v@s,V-CVC,4.237724589109726
langue,l@g,langue,NOM,s,69.11,1,l@g,CVC,4.235700885070857
colère,koleR,colère,NOM,s,68.9,1,ko-leR,CV-CVC,4.2326576293973694
pauvre,povR,pauvre,NOM,s,68.54,1,povR,CVCC,4.227418975447441
départ,depaR,départ,NOM,s,68.49,1,de-paR,CV-CVC,4.226689209275911
époque,epok,époque,NOM,s,68.44,1,e-pok,V-CVC,4.225958910156765
voleur,vol2R,voleur,NOM,s,68.18,1,vo-l2R,CV-CVC,4.22215273341446
vacance,vak@s,vacance,NOM,s,67.9,1,va-k@s,CV-CVC,4.218037507317616
machine,maSin,machine,NOM,s,67.72,1,ma-Sin,CV-CVC,4.21538303393248
bar,baR,bar,NOM,s,67.57,1,baR,CVC,4.21316557750971
club,kl2b,club,NOM,s,67.51,1,kl2b,CCVC,4.2122772163147175
salope,salop,salope,NOM,s,66.97,1,sa-lop,CV-CVC,4.204246251126757
glace,glas,glace,NOM,s,66.82,1,glas,CCVC,4.202003933485408
présent,pRez@,présent,NOM,s,66.72,1,pRe-z@,CCV-CV,4.2005062568503275
décision,desizj§,décision,NOM,s,66.48,1,de-si-zj§,CV-CV-CYV,4.196902654757855
juge,ZyZ,juge,NOM,s,66.45,1,ZyZ,CVC,4.196451290049017
contrôle,k§tRol,contrôle,NOM,s,66.28,1,k§-tRol,CV-CCVC,4.193889701307978
maladie,maladi,maladie,NOM,s,66.04,1,ma-la-di,CV-CV-CV,4.190262133284579
