parameter_name,parameter_value,error,metric,ID
b,4.587800334255656,683.762810396362,levenshtein,16
base,0.9215735183664301,683.762810396362,levenshtein,16
theta,1.9974087821103763,683.762810396362,levenshtein,16
sim_ELI,0.6122728800031941,683.762810396362,levenshtein,16
alpha,1.255188450339183,467.9103473319417,levenshtein,17
gamma,0.057279713485435514,467.9103473319417,levenshtein,17
delta,0.00102578898401962,467.9103473319417,levenshtein,17
overlap,0.0010173784036024503,467.9103473319417,levenshtein,17
sigma,0.47142047120701,467.9103473319417,levenshtein,17
tau,0.3955152056200993,467.9103473319417,levenshtein,17
b,4.675782140147633,467.9103473319417,levenshtein,17
base,0.7834221202487244,467.9103473319417,levenshtein,17
theta,1.999566990414359,467.9103473319417,levenshtein,17
